project_name_en,ejari_property_sub_type_en,average_prices_per_development
014 TOWER,Office,357921.34426229505
014 TOWER,Shop,131136.63636363635
1 Residences,1bed room+Hall,105354.95132743364
1 Residences,2 bed rooms+hall,150479.6180257511
1 Residences,3 bed rooms+hall,119769.23076923077
1 Residences,Shop,246370.5
15 Northside,1bed room+Hall,108747.0
15 Northside,2 bed rooms+hall,183633.66666666666
15 Northside,3 bed rooms+hall,246666.66666666666
15 Northside,Shop,474960.5
15 Northside,Studio,68441.50793650794
17 ICON BAY,1bed room+Hall,86412.09722222222
17 ICON BAY,2 bed rooms+hall,121596.4175257732
17 ICON BAY,3 bed rooms+hall,200513.88888888888
17 ICON BAY,4 bed rooms+hall,365000.0
17 ICON BAY,Shop,199604.0
180 Degree,Shop,153826.66666666666
2020 Marquis,1bed room+Hall,53778.56547619047
2020 Marquis,2 bed rooms+hall,75018.52380952382
23 MARINA,2 bed rooms+hall,127448.08203125
23 MARINA,3 bed rooms+hall,183342.39581151833
23 MARINA,4 bed rooms+hall,336159.72872340423
23 MARINA,5 bed rooms+hall,1040000.0
23 MARINA,Office,61074.88888888889
29 BOULEVARD,1bed room+Hall,96106.40440060697
29 BOULEVARD,2 bed rooms+hall,136858.0110619469
29 BOULEVARD,3 bed rooms+hall,172668.42105263157
29 BOULEVARD,Shop,626343.2857142857
29 BOULEVARD,Studio,63396.99367088608
51@BUSINESS BAY,2 bed rooms+hall,93714.28571428571
51@BUSINESS BAY,Office,99018.27797202797
51@BUSINESS BAY,Shop,590462.3037974683
5242,1bed room+Hall,115682.18333333333
5242,2 bed rooms+hall,166175.77777777778
5242,3 bed rooms+hall,267005.7094017094
5242,4 bed rooms+hall,681666.6666666666
5242,Health club,245232.0
5242,Shop,232692.11111111112
5242,Supermarket,214000.0
7 WEST VILLAS,3 bed rooms+hall,119131.46428571429
AC3,1bed room+Hall,81636.41304347826
AC3,2 bed rooms+hall,64918.269230769234
AC3,Clinic,256250.0
AC3,Shop,162957.86666666667
AC3,Studio,73486.55913978495
AC3,Warehouse,279756.0
ACACIA AT PARK HEIGHTS,1bed room+Hall,71675.06427221172
ACACIA AT PARK HEIGHTS,2 bed rooms+hall,112071.67437557816
ACACIA AT PARK HEIGHTS,3 bed rooms+hall,153676.1157894737
ACACIA AT PARK HEIGHTS,4 bed rooms+hall,373333.3333333333
ACACIA AT PARK HEIGHTS,GYM,1.0
ACACIA AT PARK HEIGHTS,Restaurant,500000.0
ACACIA AT PARK HEIGHTS,Shop,394739.5
ACACIA AVENUES,4 bed rooms+hall,217606.90506329114
ACACIA AVENUES,5 bed rooms+hall,392325.152173913
ACACIA AVENUES,6 bed rooms+hall,220000.0
ACES CHATEAU,1bed room+Hall,43104.93571428571
ACES CHATEAU,2 bed rooms+hall,54214.28571428572
ACES CHATEAU,3 bed rooms+hall,74995.14285714286
ACES CHATEAU,Shop,69537.5
ACES CHATEAU,Studio,36333.333333333336
ACT ONE | ACT TWO,1bed room+Hall,122312.99212598425
ACT ONE | ACT TWO,2 bed rooms+hall,182988.44871794872
ACT ONE | ACT TWO,3 bed rooms+hall,281999.2571428571
ACT ONE | ACT TWO,Shop,530538.0
ADDRESS HARBOUR POINT,1bed room+Hall,154412.8817204301
ADDRESS HARBOUR POINT,2 bed rooms+hall,232790.32258064515
ADDRESS HARBOUR POINT,3 bed rooms+hall,313533.14285714284
ADDRESS HARBOUR POINT,4 bed rooms+hall,690000.0
ADDRESS HARBOUR POINT,Hotel,219163.52
ADDRESS HARBOUR POINT,Shop,430484.8
AG TOWER,1bed room+Hall,73604.67338709677
AG TOWER,2 bed rooms+hall,101459.11764705883
AG TOWER,3 bed rooms+hall,123137.17948717948
AG TOWER,Office,163632.02783300198
AG TOWER,Shop,237280.94594594595
AG TOWER,Studio,52239.56951871658
AJMAL SARAH,1bed room+Hall,38171.94383775351
AJMAL SARAH,2 bed rooms+hall,57420.59030837005
AJMAL SARAH,3 bed rooms+hall,81189.32
AJMAL SARAH,Office,383358.9347826087
AJMAL SARAH,Shop,164221.66666666666
AJMAL SARAH,Studio,26480.5
AL Andalus Phase 2,1bed room+Hall,53368.59482758621
AL Andalus Phase 2,2 bed rooms+hall,84346.91772151898
AL Andalus Phase 2,3 bed rooms+hall,118295.45454545454
AL Andalus Phase 2,4 bed rooms+hall,123375.0
AL BAHIA,1bed room+Hall,70118.60824742269
AL BAHIA,2 bed rooms+hall,96697.77114427861
AL BUROOJ RESIDENCE 1,3 bed rooms+hall,124870.41666666667
AL BUROOJ RESIDENCE 5,3 bed rooms+hall,99833.33333333333
AL FALAK RESIDENCE,1bed room+Hall,38163.40830449827
AL FALAK RESIDENCE,2 bed rooms+hall,61246.46666666667
AL FURJAN,2 bed rooms+hall,131750.0
AL FURJAN,3 bed rooms+hall,142827.78183271177
AL FURJAN,4 bed rooms+hall,162526.31578947368
AL FURJAN,5 bed rooms+hall,196595.53260869565
AL FURJAN,6 bed rooms+hall,233395.408
AL HABTOOR  ISLAND RESORT & SPA,Office,191426.5
AL HABTOOR  ISLAND RESORT & SPA,Shop,750868.5
AL HABTOOR CITY,1bed room+Hall,90060.40555127217
AL HABTOOR CITY,2 bed rooms+hall,116117.07044079516
AL HABTOOR CITY,3 bed rooms+hall,161015.18789407314
AL HABTOOR CITY,4 bed rooms+hall,246168.8679245283
AL HABTOOR CITY,5 bed rooms+hall,642000.0
AL HABTOOR CITY,6 bed rooms+hall,699160.5263157894
AL HABTOOR CITY,7 bed rooms+hall,1200000.0
AL HABTOOR CITY,Coffe shop,183726.4
AL HABTOOR CITY,GYM,332400.0
AL HABTOOR CITY,Kiosk,15000.0
AL HABTOOR CITY,Ladies Saloon,212508.0
AL HABTOOR CITY,Office,183755.8947368421
AL HABTOOR CITY,Restaurant,1185886.6666666667
AL HABTOOR CITY,Shop,1165038.9722222222
AL HELAL AL ZAHABY  2,1bed room+Hall,31595.58389261745
AL HELAL AL ZAHABY  2,2 bed rooms+hall,47125.0
AL HELAL AL ZAHABY  2,Studio,24315.388059701494
AL HELAL AL ZAHABY 3,1bed room+Hall,52073.56756756757
