project_name_en,rooms_en,average_prices_per_development
014 TOWER,Office,5137727.511450382
014 TOWER,Shop,5024650.0
1 Residences,1 B/R,1370335.4628820962
1 Residences,2 B/R,2267137.057632399
1 Residences,3 B/R,4386722.0
10 OXFORD by IMAN,1 B/R,1105242.105882353
10 OXFORD by IMAN,2 B/R,1919753.3076923077
10 OXFORD by IMAN,Studio,693125.7213930348
15 Northside,1 B/R,1185502.0617760618
15 Northside,2 B/R,2017471.4193548388
15 Northside,3 B/R,3068916.6666666665
15 Northside,4 B/R,5900000.0
15 Northside,Studio,716129.9444444445
17 ICON BAY,1 B/R,1172067.718061674
17 ICON BAY,2 B/R,1698460.6194968554
17 ICON BAY,3 B/R,3173841.0631578946
17 ICON BAY,4 B/R,7162010.666666667
1WOOD RESIDENCE,1 B/R,936339.92
1WOOD RESIDENCE,2 B/R,1479995.0
1WOOD RESIDENCE,Studio,637111.0333333333
2020 Marquis,1 B/R,691302.9430894309
2020 Marquis,2 B/R,1051497.1940298507
23 MARINA,2 B/R,1533175.5939086294
23 MARINA,3 B/R,2517893.740420272
23 MARINA,4 B/R,6312052.59223301
23 MARINA,5 B/R,25932669.5
23 MARINA,Office,731318.1666666666
29 BOULEVARD,1 B/R,1735726.1709286675
29 BOULEVARD,2 B/R,2542614.3319057818
29 BOULEVARD,3 B/R,3149199.5185185187
29 BOULEVARD,Studio,1144241.0857142857
310 Riverside Crescent,1 B/R,1759019.717791411
310 Riverside Crescent,2 B/R,2364633.0
320 Riverside Crescent,1 B/R,1636691.530612245
320 Riverside Crescent,2 B/R,2818357.370967742
320 Riverside Crescent,3 B/R,3836403.4
340 Riverside Crescent,1 B/R,1519300.2285714287
340 Riverside Crescent,2 B/R,2416077.96875
350 Riverside Crescent,1 B/R,1572696.45
350 Riverside Crescent,2 B/R,2661819.238095238
360 Riverside Crescent,1 B/R,1761283.408
360 Riverside Crescent,2 B/R,2386566.741573034
399 Hills Park B,1 B/R,1771192.2278481012
399 Hills Park B,2 B/R,2739384.846153846
399 Hills Park B,3 B/R,4000025.1428571427
48 PARKSIDE,1 B/R,948946.875
48 PARKSIDE,2 B/R,1482855.2857142857
48 PARKSIDE,3 B/R,1811232.1666666667
51@BUSINESS BAY,Office,1283043.190600522
5242,1 B/R,1438468.8008298755
5242,2 B/R,2184942.8957055216
5242,3 B/R,3328794.8453038675
5242,4 B/R,6516679.571428572
555 PARK VIEWS,1 B/R,1127405.5471698113
555 PARK VIEWS,2 B/R,1711001.3333333333
555 PARK VIEWS,Studio,711000.0
7 PARK CENTRAL BY METEORA,1 B/R,863405.1120689656
7 WEST VILLAS,3 B/R,1796851.1538461538
99 PARK PLACE,1 B/R,1058529.5
99 PARK PLACE,2 B/R,1600099.0
99 PARK PLACE,Studio,680099.0
AARK RESIDENCES,1 B/R,859861.75
AARK RESIDENCES,2 B/R,1304391.4736842106
AB CAVALIER,1 B/R,755613.3333333334
AB CAVALIER,2 B/R,1348480.0
AB CAVALIER,Studio,537851.1428571428
ABJAR TOWER,1 B/R,631098.0
ABJAR TOWER,Studio,299085.0
ACACIA AT PARK HEIGHTS,1 B/R,1184234.5037037036
ACACIA AT PARK HEIGHTS,2 B/R,1795558.0917782027
ACACIA AT PARK HEIGHTS,3 B/R,2479541.3879003557
ACACIA AT PARK HEIGHTS,4 B/R,5893382.333333333
ACES CHATEAU,1 B/R,574775.8333333334
ACES CHATEAU,2 B/R,807779.4
ACES CHATEAU,3 B/R,1195978.5
ACES CHATEAU,Shop,1380267.0
ACES CHATEAU,Studio,463000.0
ACT ONE | ACT TWO,1 B/R,1602657.3560209423
ACT ONE | ACT TWO,2 B/R,2690089.029876977
ACT ONE | ACT TWO,3 B/R,4456074.625454545
ACT ONE | ACT TWO,4 B/R,11400560.9
ADDRESS HARBOUR POINT,1 B/R,1929159.5258215962
ADDRESS HARBOUR POINT,2 B/R,3055536.952293578
ADDRESS HARBOUR POINT,3 B/R,4148221.605
ADDRESS HARBOUR POINT,4 B/R,8025235.777777778
AG 7EVEN,1 B/R,668034.8846153846
AG 7EVEN,2 B/R,841312.0243902439
AG 7EVEN,Studio,394276.56962025317
AG 9INE,1 B/R,734812.0333333333
AG 9INE,2 B/R,1078850.2
AG 9INE,Studio,492884.9300699301
AG CENTRAL,1 B/R,672519.4339622641
AG CENTRAL,2 B/R,899360.625
AG CENTRAL,Studio,444237.8181818182
AG SQUARE,1 B/R,638691.0606060605
AG SQUARE,Studio,425886.8790035587
AG TOWER,1 B/R,1174762.187845304
AG TOWER,2 B/R,1756216.0967741935
AG TOWER,3 B/R,2434836.6666666665
AG TOWER,Office,922605.6540114613
AG TOWER,Studio,717448.8681318681
AIRE DUBAI,4 B/R,52122370.928571425
AIRE DUBAI,5 B/R,79545274.5
AJMAL SARAH,1 B/R,905568.28125
AJMAL SARAH,2 B/R,1268337.2105263157
AJMAL SARAH,3 B/R,1513141.6666666667
AJMAL SARAH,Office,1282776.5
AJMAL SARAH,Studio,525425.1428571428
AL Andalus Phase 2,1 B/R,688143.3764705883
AL Andalus Phase 2,2 B/R,1149053.2640449437
AL Andalus Phase 2,3 B/R,1439069.8541666667
AL Andalus Phase 2,4 B/R,2581725.714285714
AL BAHIA,1 B/R,1016104.2432432432
AL BAHIA,2 B/R,1397711.3943661973
