year_month,counts
2001-02,1
2004-06,1
2005-05,2
2005-08,1
2005-10,1
2005-12,2
2006-06,2
2006-07,1
2007-03,1
2007-04,1
2007-08,1
2007-11,3
2007-12,3
2008-01,2
2008-04,1
2008-05,1
2008-06,1
2008-07,2
2008-09,2
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,3
2009-06,3
2009-07,1
2009-08,2
2009-09,6
2009-10,4
2009-11,2
2009-12,2
2010-01,2
2010-02,13
2010-03,1199
2010-04,678
2010-05,784
2010-06,813
2010-07,1029
2010-08,1158
2010-09,1329
2010-10,1591
2010-11,1508
2010-12,1617
2011-01,1436
2011-02,2082
2011-03,2646
2011-04,3306
2011-05,3315
2011-06,3481
2011-07,4841
2011-08,5215
2011-09,5233
2011-10,7024
2011-11,6832
2011-12,6637
2012-01,5882
2012-02,9010
2012-03,9447
2012-04,10904
2012-05,11042
2012-06,11366
2012-07,13049
2012-08,12606
2012-09,13138
2012-10,15186
2012-11,14687
2012-12,16025
2013-01,12032
2013-02,17223
2013-03,19706
2013-04,22368
2013-05,21639
2013-06,22866
2013-07,29990
2013-08,26111
2013-09,28432
2013-10,28414
2013-11,26068
2013-12,25575
2014-01,19344
2014-02,26912
2014-03,29683
2014-04,32608
2014-05,31208
2014-06,31571
2014-07,35258
2014-08,30761
2014-09,33606
2014-10,33515
2014-11,31157
2014-12,29670
2015-01,22645
2015-02,30204
2015-03,33673
2015-04,35524
2015-05,33811
2015-06,35163
2015-07,37538
2015-08,33105
2015-09,33343
2015-10,33096
2015-11,32314
2015-12,32385
2016-01,25115
2016-02,36354
2016-03,34177
2016-04,38558
2016-05,35735
2016-06,35917
2016-07,39402
2016-08,37498
2016-09,35705
2016-10,36624
2016-11,33809
2016-12,34869
2017-01,26247
2017-02,35907
2017-03,37878
2017-04,40433
2017-05,39069
2017-06,38793
2017-07,42873
2017-08,42043
2017-09,39024
2017-10,41732
2017-11,40956
2017-12,39419
2018-01,30891
2018-02,41484
2018-03,44359
2018-04,47220
2018-05,42002
2018-06,42735
2018-07,46150
2018-08,44847
2018-09,41631
2018-10,43631
2018-11,43215
2018-12,42114
2019-01,31834
2019-02,42209
2019-03,45093
2019-04,47013
2019-05,43997
2019-06,41218
2019-07,49152
2019-08,46400
2019-09,46058
2019-10,48836
2019-11,45265
2019-12,46573
2020-01,31904
2020-02,47071
2020-03,45017
2020-04,39405
2020-05,37175
2020-06,40279
2020-07,50998
2020-08,47926
2020-09,50296
2020-10,54705
2020-11,50171
2020-12,50438
2021-01,36281
2021-02,51056
2021-03,54277
2021-04,49727
2021-05,42877
2021-06,47294
2021-07,54789
2021-08,53804
2021-09,61034
2021-10,65523
2021-11,63916
2021-12,61405
2022-01,43348
2022-02,63653
2022-03,64355
2022-04,61551
2022-05,51616
2022-06,55554
2022-07,59651
2022-08,63241
2022-09,68784
2022-10,74714
2022-11,73972
2022-12,66708
2023-01,50559
2023-02,69150
2023-03,72497
2023-04,66586
2023-05,65261
2023-06,64971
2023-07,69220
2023-08,72030
2023-09,78135
2023-10,83828
2023-11,80305
2023-12,76612
2024-01,56870
2024-02,77198
2024-03,73148
2024-04,66464
2024-05,67395
2024-06,60126
2024-07,61610
