month,ejari_property_sub_type_en,average_actual_worth
1,10 bed rooms+hall,227827.45544554456
1,11 bed rooms+hall,314096.4285714286
1,15 bed room+hall,720000.0
1,1bed room+Hall,202059.13640562573
1,2 bed rooms+hall,548905.1625836848
1,2 bed rooms+hall+Maids Room,77090.90909090909
1,3 bed rooms+hall,610334.8433024171
1,4 bed rooms+hall,516111.77873316134
1,5 bed rooms+hall,645103.5507307476
1,6 bed rooms+hall,278391.08224442735
1,7 bed rooms+hall,299327.3111888112
1,8 bed rooms+hall,264040.45070422534
1,9 bed rooms+hall,448406.0722891566
1,ATM,48931.217391304344
1,Bank,886731.0
1,Boardroom,32000.0
1,Car wash,517726.3157894737
1,Cinema,791540.6666666666
1,Clinic,521699.167721519
1,Coffe shop,184602.72752043596
1,"Coffe shop,Fast Food",92159.5
1,College,1884586.7674418604
1,Commercial villa,347313.5056179775
1,Duplex,139483.72295081968
1,Factory,628239.1964285715
1,Farm,25000.0
1,Fish counter,2206.678966789668
1,Food court,387736.3113207547
1,GYM,368368.7027027027
1,Garage,46693.0
1,Grocery,31051.083333333332
1,Hall weddings,4312500.0
1,Hat Saloon,142403.47244094487
1,Health club,311541.9306358381
1,Hospital,5220378.657142857
1,Hotel,3945670.245497427
1,Hotel apartments,1800000.0
1,Kiosk,63137.43304491141
1,Labor Camp,385541.92402826855
1,Ladies Saloon,110252.83333333333
1,Laundry,38159.36363636364
1,Machine,70000.0
1,Mezzanine,236442.95454545456
1,Nursery,514191.51923076925
1,OPEN STORAGE SHED,267067.0833333333
1,Office,216735.2727649753
1,Open Land,87607.3125
1,Open space,158717.0
1,Parking,263811.1676829268
1,Penthouse,184366.5625
1,Pertol Station,72466.70370370371
1,Pharmacy,153786.28685258963
1,Portacabin Rooms,1049324.895716946
1,Poultry Farm,1126190.4285714286
1,Restaurant,499568.8514950166
1,Room,1555011.108033241
1,Room in labor Camp,1886309.5720745898
1,School,2042459.9574468085
1,Service Center,915303.0909090909
1,Shop,149364.48246746333
1,Shop with a mezzanine,151385.54190367842
1,Showroom,414814.04778925073
1,Showroom with mezzanine,426044.8593644354
1,Sign board,446290.55555555556
1,Spa,240815.03333333333
1,Staff Accommodatoion,1117863.6542553192
1,Storage,72567.39179104478
1,Store,326630.0060396894
1,Store cooled,37667.306666666664
1,Studio,391848.6623698148
1,Supermarket,541682.8023850085
1,Warehouse,271704.13305174233
1,Warehouse with a mezzanine,170282.39285714287
1,WorkShop with a mezzanine,86805.0
1,Workshop,298042.91949152545
1,church,200000.0
1,hotel building,2125000.0
1,kitchen,31666.833333333332
1,laboratory,137745.75
2,10 bed rooms+hall,300163.5394736842
2,11 bed rooms+hall,386666.6666666667
2,15 bed room+hall,290000.0
2,1bed room+Hall,113961.96789518584
2,2 bed rooms+hall,164572.8908750744
2,2 bed rooms+hall+Maids Room,83888.88888888889
2,3 bed rooms+hall,221837.49846117702
2,4 bed rooms+hall,191678.962248996
2,5 bed rooms+hall,272836.44752582925
2,6 bed rooms+hall,569793.060445387
2,7 bed rooms+hall,658483.8373015873
2,8 bed rooms+hall,337542.1626506024
2,9 bed rooms+hall,484628.77192982455
2,ATM,58774.41176470588
2,Bank,250000.0
2,Boardroom,42000.0
2,Car wash,143333.33333333334
2,Clinic,341121.0785562633
2,Coffe shop,434633.75531914894
2,"Coffe shop,Fast Food",202666.66666666666
2,College,103916.66666666667
2,Commercial villa,292874.83116883115
2,Duplex,168504.54761904763
2,Factory,224602.04545454544
2,Farm,74000.0
2,Fish counter,300.0
2,Food court,264288.12
2,GYM,555583.0
2,Garage,144000.0
2,Hat Saloon,163360.46666666667
2,Health club,241702.51923076922
2,Horse stable,50000.0
2,Hospital,9048811.8
2,Hotel,2870749.620947631
2,Kiosk,74655.04247787611
2,Labor Camp,421408.73875
2,Ladies Saloon,85412.88059701493
2,Laundry,29937.0
2,Machine,203311.25
2,Mezzanine,307425.0
2,Nursery,408819.78571428574
2,Office,169399.96446543315
2,Open Land,169107.14285714287
2,Open space,1073092.6296296297
2,Parking,292200.44680851063
2,Penthouse,181854.475
2,Pharmacy,168659.38095238095
2,Portacabin Rooms,885466.2463054187
2,Restaurant,374575.2920792079
2,Room,1319078.1545454545
2,Room in labor Camp,1571439.5860338327
2,School,4065884.6
2,Service Center,1429268.5
2,Shop,181344.99762158617
2,Shop with a mezzanine,170559.12789661318
2,Showroom,356790.8805289558
2,Showroom with mezzanine,619231.9002770083
2,Sign board,401991.6
2,Spa,215600.25
2,Staff Accommodatoion,40931.52631578947
2,Storage,68384.44318181818
2,Store,120204.72677595628
2,Store cooled,67465.97872340426
2,Studio,140809.77792494482
2,Supermarket,406653.4465408805
2,Warehouse,264694.14285714284
2,Warehouse with a mezzanine,136105.42857142858
2,WorkShop with a mezzanine,86805.0
2,Workshop,181748.62390670553
2,kitchen,257260.0
3,10 bed rooms+hall,224001.04347826086
3,11 bed rooms+hall,176000.0
3,15 bed room+hall,150000.0
3,1bed room+Hall,147635.12678513193
3,2 bed rooms+hall,259761.05665066367
3,2 bed rooms+hall+Maids Room,67000.0
3,3 bed rooms+hall,459607.9234305796
3,4 bed rooms+hall,187769.01896452263
3,5 bed rooms+hall,272174.56252361165
3,6 bed rooms+hall,585181.1178992498
3,7 bed rooms+hall,728209.6485148515
3,8 bed rooms+hall,412724.77575757576
3,9 bed rooms+hall,355250.84375
3,ATM,222407.0
3,Bank,3569187.652173913
3,Clinic,456711.14964788733
3,Coffe shop,209470.17333333334
3,"Coffe shop,Fast Food",60000.0
3,College,1160928.8461538462
3,Commercial villa,323749.91549295775
3,Counter Printing,125000.0
3,Desk,119232.0
3,Duplex,150618.20967741936
3,Factory,255568.9393939394
3,Farm,427142.85714285716
3,Food court,264698.55102040817
3,GYM,259422.65853658537
3,Hat Saloon,124889.18518518518
3,Health club,146305.24074074073
3,Horse stable,40000.0
3,Hospital,1844758.1
3,Hotel,2377922.5405819295
3,Kiosk,78986.55944931164
3,Labor Camp,2032577.0747217806
3,Ladies Saloon,88978.27450980392
3,Laundry,34427.0
3,Machine,50000.0
3,Mezzanine,47679.73333333333
3,Nursery,393653.52777777775
3,Office,181616.63002432155
3,Open Land,121875.0
3,Open space,642077.6206896552
3,Parking,173287.28217821784
3,Penthouse,170373.20967741936
3,Pharmacy,182917.97115384616
3,Portacabin Rooms,594448.3903666427
3,Poultry Farm,50000.0
