month,rooms_en,average_actual_worth
1,1 B/R,1019466.0132064868
1,2 B/R,1806324.6079726652
1,3 B/R,2688533.9411067194
1,4 B/R,4316099.828968639
1,5 B/R,9982754.074468086
1,6 B/R,25135676.52631579
1,7 B/R,39917500.0
1,GYM,4650000.0
1,Office,1603374.3227731865
1,PENTHOUSE,3508516.954954955
1,Shop,2064481.7441860465
1,Single Room,79688.23943661971
1,Store,30522.0
1,Studio,586899.802094647
2,1 B/R,996874.6557560336
2,2 B/R,1810381.222704615
2,3 B/R,2506880.8776068697
2,4 B/R,4031324.293481821
2,5 B/R,10249811.14516129
2,6 B/R,23835791.333333332
2,7 B/R,183000000.0
2,9 B/R,410000000.0
2,GYM,2034378.0
2,Office,1678310.458119658
2,PENTHOUSE,4721264.234042553
2,Shop,2240031.366906475
2,Single Room,94039.23076923077
2,Store,58037.71428571428
2,Studio,593068.0040938666
3,1 B/R,1058518.3807612592
3,2 B/R,1845708.9634086771
3,3 B/R,2677470.671791604
3,4 B/R,4136914.8062628037
3,5 B/R,6822691.230248307
3,6 B/R,21886286.82352941
3,7 B/R,20267500.0
3,GYM,4474157.0
3,Office,1929070.2894787833
3,PENTHOUSE,4511194.371900827
3,Shop,2141725.168157424
3,Single Room,103871.125
3,Store,22749.81818181818
3,Studio,588978.8893308527
4,1 B/R,1023057.2311099627
4,2 B/R,1826878.6750570945
4,3 B/R,2662722.672728951
4,4 B/R,4336768.063110181
4,5 B/R,7294669.005633803
4,6 B/R,18790254.333333332
4,7 B/R,41845062.5
4,Office,1441061.5030640669
4,PENTHOUSE,4163622.0964467004
4,Shop,2147476.4224489797
4,Single Room,129926.53658536586
4,Store,630562.5454545454
4,Studio,579079.398825299
5,1 B/R,1074754.4975939947
5,2 B/R,1937362.8383750287
5,3 B/R,2746840.738790814
5,4 B/R,4292769.308301555
5,5 B/R,9718807.183976261
5,6 B/R,35487049.20689655
5,8 B/R,18618200.0
5,Office,1544673.5064386742
5,PENTHOUSE,4654223.240740741
5,Shop,2174953.372745491
5,Single Room,119111.11111111111
5,Store,137686.0
5,Studio,590549.6236410358
6,1 B/R,1060024.4670329671
6,2 B/R,1885614.6284435743
6,3 B/R,2624873.469475832
6,4 B/R,4219265.067671395
6,5 B/R,9196624.793650793
6,6 B/R,18400024.411764707
6,7 B/R,82949962.66666667
6,8 B/R,39387064.0
6,GYM,3778131.0
6,Office,1562510.498824912
6,PENTHOUSE,4450392.1375
6,Shop,3009979.29
6,Single Room,88953.62790697675
6,Store,77743.25714285714
6,Studio,578100.8516542834
7,1 B/R,1063819.1765942054
7,2 B/R,1977099.9427870861
7,3 B/R,2660591.6929327
7,4 B/R,4294191.058966074
7,5 B/R,7747682.730245232
7,6 B/R,22807313.85714286
7,7 B/R,20083333.333333332
7,GYM,12548473.333333334
7,Office,1553421.1557939914
7,PENTHOUSE,4242079.837837838
7,Shop,2588024.642611684
7,Single Room,98685.7572815534
7,Store,42625.22352941176
7,Studio,612705.7660273972
8,1 B/R,1033915.3222795278
8,2 B/R,1808651.1778506415
8,3 B/R,2569482.689009662
8,4 B/R,3944179.3565965584
8,5 B/R,6386321.8121693125
8,6 B/R,24395701.57142857
8,7 B/R,54321433.333333336
8,Office,1706012.3755947384
8,PENTHOUSE,3695668.3529411764
8,Shop,1999853.6765957447
8,Single Room,61592.40909090909
8,Store,97259.44444444444
8,Studio,565184.0782177413
9,1 B/R,1007191.2894836991
9,2 B/R,1802602.9393975053
9,3 B/R,2486677.744346116
9,4 B/R,3615814.3523026314
9,5 B/R,12094578.13122172
9,6 B/R,68950775.10526316
9,7 B/R,45644974.75
9,8 B/R,45074262.5
9,9 B/R,31173234.0
9,GYM,13933572.333333334
9,Office,1501302.1877318118
9,PENTHOUSE,4355138.7920792075
9,Shop,1773349.237020316
9,Single Room,93467.15625
9,Store,19871.0
9,Studio,555439.9635048496
10,1 B/R,1000733.9933497633
10,2 B/R,1788392.1773785555
10,3 B/R,2431343.264367816
10,4 B/R,3796592.8033182505
10,5 B/R,10705902.747747747
10,6 B/R,25103251.94117647
10,7 B/R,36535833.333333336
10,GYM,23564871.0
10,Office,1609198.7504
10,PENTHOUSE,3323973.2033898304
10,Shop,2108228.954314721
10,Single Room,83000.0
10,Store,52505.416666666664
10,Studio,554865.8304517134
11,1 B/R,1060752.9771637546
11,2 B/R,1906489.3278955955
11,3 B/R,2564070.69496261
11,4 B/R,3720211.974172954
11,5 B/R,7521103.381756756
11,6 B/R,30767252.68
11,7 B/R,24681481.0
11,GYM,2900000.0
11,Office,1556484.1174010038
11,PENTHOUSE,3962754.6923076925
11,Shop,2082511.569007264
11,Single Room,166066.42857142858
11,Store,49483.857142857145
11,Studio,599658.7294507357
12,1 B/R,1041502.7360945806
12,2 B/R,1879401.5235928905
12,3 B/R,2647851.2511107586
12,4 B/R,3950207.7470302377
12,5 B/R,9132762.863414634
12,6 B/R,35513598.55
12,7 B/R,58760000.0
12,GYM,4819268.0
12,Office,1663868.7862513426
12,PENTHOUSE,4121084.4127906975
12,Shop,9185513.835489834
12,Single Room,70931.41666666667
12,Store,20703.571428571428
12,Studio,581120.6931446336
