year_month,actual_worth
2000-01,231261529.0
2000-02,645484275.0
2000-03,687627869.0
2000-04,733973784.0
2000-05,793313593.0
2000-06,791731722.0
2000-07,616799143.0
2000-08,321408379.0
2000-09,297294744.0
2000-10,489053501.0
2000-11,502421332.0
2000-12,438244197.0
2001-01,634143133.0
2001-02,648131128.0
2001-03,460924568.0
2001-04,701390152.0
2001-05,1027725661.0
2001-06,1185349569.0
2001-07,1194675115.0
2001-08,560446900.0
2001-09,761377214.0
2001-10,1195219103.0
2001-11,438994794.0
2001-12,601482366.0
2002-01,905165090.0
2002-02,1105744316.0
2002-03,847549610.0
2002-04,1228040249.0
2002-05,979798592.0
2002-06,1108220488.0
2002-07,919086531.0
2002-08,396610082.0
2002-09,658305165.0
2002-10,1274597452.0
2002-11,767617166.0
2002-12,632259090.0
2003-01,1332570963.0
2003-02,873795117.0
2003-03,1390750285.0
2003-04,1340380049.0
2003-05,1046265631.0
2003-06,1503552533.0
2003-07,1538625253.0
2003-08,526635431.0
2003-09,1233265634.0
2003-10,1659840419.0
2003-11,610164170.0
2003-12,1609313503.0
2004-01,1604529204.0
2004-02,1177513033.0
2004-03,3386178085.0
2004-04,1918041948.0
2004-05,2236506093.0
2004-06,2485535777.0
2004-07,3079530505.0
2004-08,1960128424.0
2004-09,1944157045.0
2004-10,1839055591.0
2004-11,1869378822.0
2004-12,2530613568.0
2005-01,2430522557.0
2005-02,2487533090.0
2005-03,3559854309.0
2005-04,3374915845.0
2005-05,4476559334.0
2005-06,2598255237.0
2005-07,2606900975.0
2005-08,3185260889.0
2005-09,2969564017.0
2005-10,2528397473.0
2005-11,2206408606.0
2005-12,3135826900.0
2006-01,2443466907.0
2006-02,3158961291.0
2006-03,4105337007.0
2006-04,4837157408.0
2006-05,6673288336.0
2006-06,3127492432.0
2006-07,4535121723.0
2006-08,2057322424.0
2006-09,4750793196.0
2006-10,3611401783.0
2006-11,8622121669.0
2006-12,21244391986.0
2007-01,5636284718.0
2007-02,3900679373.0
2007-03,7877326952.0
2007-04,6346726496.0
2007-05,11471667972.0
2007-06,11881379132.0
2007-07,10185860442.0
2007-08,68863179960.0
2007-09,8936595553.0
2007-10,13628410974.0
2007-11,14347533668.0
2007-12,11980224757.0
2008-01,12549154739.0
2008-02,21002029005.0
2008-03,15207543182.0
2008-04,19955464131.0
2008-05,37581551664.0
2008-06,23759542527.0
2008-07,45104220775.0
2008-08,13373169622.0
2008-09,31287959620.0
2008-10,12765610810.0
2008-11,11954568211.0
2008-12,6688938255.0
2009-01,9561803729.0
2009-02,10665096231.0
2009-03,11421317118.0
2009-04,24942782329.0
2009-05,13630202374.0
2009-06,18295530053.0
2009-07,14213635572.0
2009-08,14391313824.0
2009-09,7297542964.0
2009-10,14332435747.0
2009-11,12581114927.0
2009-12,8818541812.0
2010-01,8517520778.0
2010-02,16529747740.0
2010-03,19543523143.0
2010-04,10652409067.0
2010-05,16026340576.0
2010-06,15736583489.0
2010-07,10703377800.0
2010-08,9367849518.0
2010-09,8987493902.0
2010-10,7236686241.0
2010-11,10031139822.0
2010-12,6797853025.0
2011-01,11974802948.0
2011-02,7747702805.0
2011-03,18325533277.0
2011-04,7924626883.0
2011-05,16654774675.0
2011-06,9027947717.0
2011-07,7222926226.0
2011-08,44122989835.0
2011-09,20303314383.0
2011-10,10622755654.0
2011-11,8783767751.0
2011-12,16005274490.0
2012-01,8941117280.0
2012-02,9480179765.0
2012-03,8641261828.0
2012-04,17905174931.0
2012-05,15066203049.0
2012-06,34680026944.0
2012-07,20032251065.0
2012-08,7023233987.0
2012-09,9308104436.0
2012-10,23506817186.0
2012-11,20273197983.0
2012-12,11999559204.0
2013-01,15562869235.0
2013-02,18322245256.0
2013-03,19503752778.0
2013-04,17993169330.0
2013-05,18219738297.0
2013-06,24732404835.0
2013-07,26324454442.0
2013-08,16212488882.0
2013-09,21712081269.0
2013-10,22314634545.0
2013-11,18577057723.0
2013-12,46825513012.0
2014-01,21682558361.0
2014-02,24366076854.0
2014-03,23736310368.0
2014-04,23511898710.0
2014-05,16920922612.0
2014-06,19680765142.0
2014-07,17857103157.0
2014-08,17297795782.0
2014-09,22457310575.0
2014-10,18441651718.0
2014-11,18676256703.0
2014-12,28915835934.0
2015-01,22439200782.0
2015-02,16555205797.0
2015-03,31647627661.0
2015-04,25708999021.0
2015-05,19306135231.0
2015-06,21345601891.0
2015-07,16705560813.0
2015-08,19029813648.0
2015-09,27822843169.0
2015-10,16448186083.0
2015-11,21973007462.0
2015-12,22092816220.0
2016-01,21674984940.0
2016-02,19128748992.0
2016-03,20042389444.0
2016-04,20989425944.0
2016-05,21646925710.0
2016-06,25872150922.0
2016-07,16451073189.0
2016-08,23266300262.0
2016-09,12077015157.0
2016-10,37748527919.0
2016-11,25078223109.0
2016-12,20898278108.0
2017-01,24321067816.0
2017-02,23807135128.0
2017-03,23889887948.0
2017-04,21612631657.0
2017-05,23159480463.0
2017-06,13712047995.0
2017-07,18013112623.0
2017-08,27254249728.0
2017-09,15241949914.0
2017-10,20331029340.0
2017-11,26276813784.0
2017-12,31571903509.0
2018-01,16909122720.0
2018-02,18925060355.0
2018-03,20246980241.0
2018-04,17176446238.0
2018-05,19477701459.0
2018-06,14977234558.0
2018-07,21619658058.0
2018-08,13097368480.0
2018-09,11958622350.0
2018-10,19383902557.0
2018-11,13638185895.0
2018-12,29070962725.0
2019-01,12990957411.0
2019-02,24935601324.0
2019-03,13701356500.0
2019-04,29380519062.0
2019-05,16672826272.0
2019-06,11882578332.0
